2020-10-13T17:00:00,5898
2020-10-14T17:00:00,7332
2020-10-15T17:00:00,8803
2020-10-16T17:00:00,10009
2020-10-17T17:00:00,10925
2020-10-18T17:00:00,11705
2020-10-19T17:00:00,9337
2020-10-20T17:00:00,10871
2020-10-21T17:00:00,15199
2020-10-22T17:00:00,16078
2020-10-23T17:00:00,19143
2020-10-24T17:00:00,19640
2020-10-25T17:00:00,21273
2020-10-26T17:00:00,17007
2020-10-27T17:00:00,21989
2020-10-28T17:00:00,24988
2020-10-29T17:00:00,26829
2020-10-30T17:00:00,31079
2020-10-31T17:00:00,31756
2020-11-01T17:00:00,29905
2020-11-02T17:00:00,22253
2020-11-03T17:00:00,28241
2020-11-04T17:00:00,30548
2020-11-05T17:00:00,34502
2020-11-06T17:00:00,37802
2020-11-07T17:00:00,39809
2020-11-08T17:00:00,32614
2020-11-09T17:00:00,25269
2020-11-10T17:00:00,35090
2020-11-11T17:00:00,32961
2020-11-12T17:00:00,37977
2020-11-13T17:00:00,40902
2020-11-14T17:00:00,37249
2020-11-15T17:00:00,33977
2020-11-16T17:00:00,27352
2020-11-17T17:00:00,32191
2020-11-18T17:00:00,34280
2020-11-19T17:00:00,36176
2020-11-20T17:00:00,37239
2020-11-21T17:00:00,34764
2020-11-22T17:00:00,28337
2020-11-23T17:00:00,22927
2020-11-24T17:00:00,23227
2020-11-25T17:00:00,25852
2020-11-26T17:00:00,29001
2020-11-27T17:00:00,28342
2020-11-28T17:00:00,26315
2020-11-29T17:00:00,20646
2020-11-30T17:00:00,16376
2020-12-01T17:00:00,19347
2020-12-02T17:00:00,20709
2020-12-03T17:00:00,23219
2020-12-04T17:00:00,24110
2020-12-05T17:00:00,21052
2020-12-06T17:00:00,18887
2020-12-07T17:00:00,13679
2020-12-08T17:00:00,14837
2020-12-09T17:00:00,12755
2020-12-10T17:00:00,16998
2020-12-11T17:00:00,18726
2020-12-12T17:00:00,19902
2020-12-13T17:00:00,17937
2020-12-14T17:00:00,12025
2020-12-15T17:00:00,14839
2020-12-16T17:00:00,17568
2020-12-17T17:00:00,18233
2020-12-18T17:00:00,15401
2020-12-19T17:00:00,16305
2020-12-20T17:00:00,15102
2020-12-21T17:00:00,10869
2020-12-22T17:00:00,13316
2020-12-23T17:00:00,13908
2020-12-24T17:00:00,18039
2020-12-25T17:00:00,19037
